Voie;Code ID commune;Code postal;Commune;Code departement;Code commune;CODE;Unnamed: 15;Unnamed: 16;No Volume;Unnamed: 18;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales
DU PLAT;1625;59800.0;LILLE;59;350;59350;;;;;50,03;;;;;;;;;1;2;Appartement;;50;3
DU DOCTEUR CALMETTE;1718;60200.0;COMPIEGNE;60;159;60159;;;;;79,68;;;;;;;;;1;2;Appartement;;63;4
SAINT GERMAIN;1718;60200.0;COMPIEGNE;60;159;60159;;;;;46,79;;;;;;;;;2;2;Appartement;;47;2
GAMBETTA;1733;60180.0;NOGENT SUR OISE;60;463;60463;;;;;16,06;;;;;;;;;1;2;Appartement;;16;1
POISSONNIERE;1762;60500.0;VINEUIL ST FIRMIN;60;695;60695;;;;;78,78;;;;;;;;;1;2;Appartement;;79;4
D AMIENS;1776;62000.0;ARRAS;62;41;62041;;;;;56,35;;;;;;;;;1;2;Appartement;;55;2
FEDERICO GARCIA LORCA;1825;64000.0;PAU;64;445;64445;;;;;85,68;;;;;;;;;1;2;Appartement;;76;3
DE LA MEDITERRANEE;1885;66140.0;CANET EN ROUSSILLON;66;37;66037;;;;;25,77;;;;;;;;;1;2;Appartement;;26;1
DU CHATEAU;1963;69420.0;AMPUIS;69;7;69007;;;;;111,5;;;;;;;;;1;1;Maison;;110;5
JEAN MOULIN;1912;69300.0;CALUIRE ET CUIRE;69;34;69034;;;;;61,94;;;;;;;;;2;2;Appartement;;64;3
DE PLAIN VALLON;1912;69300.0;CALUIRE ET CUIRE;69;34;69034;;;;;27,17;;;;;;;;;2;2;Appartement;;29;1
DES FONDS;1955;69110.0;SAINTE FOY LES LYON;69;202;69202;;;;;64,27;;;;;;;;;2;2;Appartement;;64;2
D OSCHATZ;1934;69200.0;VENISSIEUX;69;259;69259;;;;;39,65;;;;;;;;;1;2;Appartement;;39;2
JEAN BAPTISTE MARTINI;2007;69400.0;VILLEFRANCHE;69;264;69264;;;;;69,95;;;;;;;;;2;2;Appartement;;69;3
DU QUATRE AOUT;1933;69100.0;VILLEURBANNE;69;266;69266;;;;;90,28;;;;;;;;;2;2;Appartement;;89;3
DE LYON;1941;69680.0;CHASSIEU;69;271;69271;;;;;83,2;;;;;;;;;1;2;Appartement;;92;4
JEAN-LOUIS BARRAULT;1931;69330.0;MEYZIEU;69;282;69282;;;;;49,73;;;;;;;;;2;2;Appartement;;49;2
DES CEDRES;1931;69330.0;MEYZIEU;69;282;69282;;;;;61,63;;;;;;;;;1;2;Appartement;;61;2
TABLES CLAUDIENNES;1913;69001.0;LYON 1ER;69;381;69381;;;;;70,55;;;;;;;;;1;2;Appartement;;78;3
VILLEROY;1927;69003.0;LYON 3EME;69;383;69383;;;;;64,45;;;;;;;;;1;2;Appartement;;63;3
PFR RENE GUILLET;1927;69003.0;LYON 3EME;69;383;69383;;;;;88,09;;;;;;;;;2;2;Appartement;;88;4
HENRI GORJUS;1908;69004.0;LYON 4EME;69;384;69384;;;;;63,21;;;;;;;;;1;2;Appartement;;64;2
DE LA CORNICHE;1908;69004.0;LYON 4EME;69;384;69384;;;;;223,43;;;;;;;;;1;1;Maison;;60;2
DES BROTTEAUX;1929;69006.0;LYON 6EME;69;386;69386;;;;;46,48;;;;;;;;;1;2;Appartement;;41;2
BOSSUET;1929;69006.0;LYON 6EME;69;386;69386;;;;;18,02;;;;;;;;;1;2;Appartement;;17;1
JEAN VINGT TROIS;1930;69008.0;LYON 8EME;69;388;69388;;;;;81,6;;;;;;;;;2;2;Appartement;;82;4
PIERRE SCIZE;1910;69009.0;LYON 9EME;69;389;69389;;;;;61,76;;;;;;;;;1;2;Appartement;;60;2
JEANNE D ARC;2074;72220.0;SAINT MARS D OUTILLE;72;299;72299;;;;;64,65;;;;;;;;;1;1;Maison;;63;3
DES NOISETIERS;2126;74960.0;ANNECY;74;10;74010;;;;;5,6;;;;;;;;;2;2;Appartement;;79;4
PERRIERE;2124;74000.0;ANNECY;74;10;74010;;;;;35,63;;;;;;;;;1;2;Appartement;;35;1
DU CEDRE BLEU;2131;74100.0;ANNEMASSE;74;12;74012;;;;;44,14;;;;;;;;;1;2;Appartement;;43;2
DE LA GARE;2131;74100.0;ANNEMASSE;74;12;74012;;;;;37,81;;;;;;;;;1;2;Appartement;;38;1
FLAINE;2168;74300.0;ARACHES LA FRASSE;74;14;74014;;;;;56,32;;;;;;;;;2;2;Appartement;;52;3
DU CENTRE;2171;74260.0;LES GETS;74;134;74134;;;;;31,14;;;;;;;;;1;2;Appartement;;31;2
DE LA CAPIEU;2125;74230.0;MANIGOD;74;160;74160;;;;;22,19;;;;;;;;;1;2;Appartement;;22;2
DE TURENNE;3195;75003.0;PARIS 03;75;103;75103;;;;;21,3;;;;;;;;;1;2;Appartement;;22;1
PIERRE LEROUX;3199;75007.0;PARIS 07;75;107;75107;;;;;56,85;;;;;;;;;5;2;Appartement;;54;3
DE LONDRES;3197;75008.0;PARIS 08;75;108;75108;;;;;48,72;;;;;;;;;2;2;Appartement;;48;2
JEAN BAPTISTE PIGALLE;3202;75009.0;PARIS 09;75;109;75109;;;;;22,52;;;;;;;;;1;2;Appartement;;30;2
DU FBG ST MARTIN;3201;75010.0;PARIS 10;75;110;75110;;;;;57,42;;;;;;;;;1;2;Appartement;;63;3
BICHAT;3201;75010.0;PARIS 10;75;110;75110;;;;;37,28;;;;;;;;;1;2;Appartement;;48;4
DE SAMBRE ET MEUSE;3201;75010.0;PARIS 10;75;110;75110;;;;;35,16;;;;;;;;;1;2;Appartement;;35;3
AUGUSTE BARBIER;3203;75011.0;PARIS 11;75;111;75111;;;;;29,42;;;;;;;;;1;2;Appartement;;30;2
DE LA ROQUETTE;3203;75011.0;PARIS 11;75;111;75111;;;;;13,05;;;;;;;;;1;2;Appartement;;10;1
PHILIPPE AUGUSTE;3203;75011.0;PARIS 11;75;111;75111;;;;;51,02;;;;;;;;;2;2;Appartement;;52;2
DU GAL MICHEL BIZOT;3204;75012.0;PARIS 12;75;112;75112;;;;;86,17;;;;;;;;;2;2;Appartement;;87;5
MONTGALLET;3204;75012.0;PARIS 12;75;112;75112;;;;;27,8;;;;;;;;;1;2;Appartement;;26;2
DE REUILLY;3204;75012.0;PARIS 12;75;112;75112;;;;;11,75;;;;;;;;;1;2;Appartement;;11;1
DE CRONSTADT;3207;75015.0;PARIS 15;75;115;75115;;;;;28,03;;;;;;;;;2;2;Appartement;;29;2
DE VAUGIRARD;3207;75015.0;PARIS 15;75;115;75115;;;;;73,25;;;;;;;;;2;2;Appartement;;70;3
FELIX FAURE;3207;75015.0;PARIS 15;75;115;75115;;;;;48,97;;;;;;;;;3;2;Appartement;;40;2
NARCISSE DIAZ;3208;75016.0;PARIS 16;75;116;75116;;;;;65,35;;;;;;;;;1;2;Appartement;;62;2
MICHEL ANGE;3208;75016.0;PARIS 16;75;116;75116;;;;;99,08;;;;;;;;;2;2;Appartement;;97;3
DE CIVRY;3208;75016.0;PARIS 16;75;116;75116;;;;;92,33;;;;;;;;;4;2;Appartement;;91;4
MIGNOT;3208;75016.0;PARIS 16;75;116;75116;;;;;86,47;;;;;;;;;1;2;Appartement;;90;2
LEON COGNIET;3209;75017.0;PARIS 17;75;117;75117;;;;;94,09;;;;;;;;;2;2;Appartement;;95;4
BARON;3209;75017.0;PARIS 17;75;117;75117;;;;;36,02;;;;;;;;;1;2;Appartement;;38;2
DES SAULES;3210;75018.0;PARIS 18;75;118;75118;;;;;12,59;;;;;;;;;1;2;Appartement;;15;1
DU POTEAU;3210;75018.0;PARIS 18;75;118;75118;;;;;46,82;;;;;;;;;2;2;Appartement;;46;2
ST FRANCOIS;3210;75018.0;PARIS 18;75;118;75118;;;;;18,01;;;;;;;;;1;2;Appartement;;18;1
CHAMPIONNET;3210;75018.0;PARIS 18;75;118;75118;;;;;48,96;;;;;;;;;1;2;Appartement;;49;3
ORNANO;3210;75018.0;PARIS 18;75;118;75118;;;;;14,06;;;;;;;;;1;2;Appartement;;14;1
HERMEL;3210;75018.0;PARIS 18;75;118;75118;;;;;77,28;;;;;;;;;2;2;Appartement;;76;4
RAMEY;3210;75018.0;PARIS 18;75;118;75118;;;;;84,69;;;;;;;;;2;2;Appartement;;85;4
JULES JOUY;3210;75018.0;PARIS 18;75;118;75118;;;;;31,6;;;;;;;;;2;2;Appartement;;31;2
MARX DORMOY;3210;75018.0;PARIS 18;75;118;75118;;;;;18,31;;;;;;;;;2;2;Appartement;;18;1
DE CRIMEE;3212;75019.0;PARIS 19;75;119;75119;;;;;35,21;;;;;;;;;2;2;Appartement;;32;2
EUGENE JUMIN;3212;75019.0;PARIS 19;75;119;75119;;;;;40,91;;;;;;;;;2;2;Appartement;;40;3
MANIN;3212;75019.0;PARIS 19;75;119;75119;;;;;119,14;;;;;;;;;3;2;Appartement;;119;5
MANIN;3212;75019.0;PARIS 19;75;119;75119;;;;;53,68;;;;;;;;;2;2;Appartement;;52;3
SORBIER;3211;75020.0;PARIS 20;75;120;75120;;;;;42;;;;;;;;;2;2;Appartement;;41;2
LABEDOYERE;2229;76600.0;LE HAVRE;76;351;76351;;;;;80,45;;;;;;;;;2;2;Appartement;;82;4
LE CAM;2229;76600.0;LE HAVRE;76;351;76351;;;;;24,4;;;;;;;;;1;2;Appartement;;21;1
DE CAMPULLEY;2199;76000.0;ROUEN;76;540;76540;;;;;18,46;;;;;;;;;1;2;Appartement;;16;1
HECTOR BERLIOZ;2199;76000.0;ROUEN;76;540;76540;;;;;67,28;;;;;;;;;2;2;Appartement;;66;3
CHARLOTTE PERRIAND;2199;76000.0;ROUEN;76;540;76540;;;;;90,25;;;;;;;;;1;2;Appartement;;90;4
DE LA RESISTANCE;2345;77500.0;CHELLES;77;108;77108;;;;;82,48;;;;;;;;;2;2;Appartement;;82;4
D ARIANE;2372;77700.0;CHESSY;77;111;77111;;;;;43,54;;;;;;;;;1;2;Appartement;;43;2
DE L EGLISE;2299;77173.0;CHEVRY-COSSIGNY;77;114;77114;;;;;33,05;;;;;;;;;1;2;Appartement;;33;2
SOMMEVILLE;2262;77380.0;COMBS LA VILLE;77;122;77122;;;;;82,5;;;;;;;;;1;2;Appartement;;88;4
EUGENE DORLET;2295;77170.0;COUBERT;77;127;77127;;;;;27,9;;;;;;;;;1;2;Appartement;;38;2
YVETTE TROISPOUX;2318;77120.0;COULOMMIERS;77;131;77131;;;;;56,69;;;;;;;;;1;2;Appartement;;56;4
DE LA GRANDE ILE;2342;77100.0;MEAUX;77;284;77284;;;;;33,39;;;;;;;;;1;2;Appartement;;32;1
GEORGES POMPIDOU;2256;77000.0;MELUN;77;288;77288;;;;;76,4;;;;;;;;;1;2;Appartement;;74;4
DE LA ROCHETTE;2256;77000.0;MELUN;77;288;77288;;;;;40,58;;;;;;;;;1;2;Appartement;;40;2
DE L'EGALITE;2281;77680.0;ROISSY-EN-BRIE;77;390;77390;;;;;61,5;;;;;;;;;1;2;Appartement;;61;3
DE LA MARNE;2346;77270.0;VILLEPARISIS;77;514;77514;;;;;37;;;;;;;;;1;2;Appartement;;38;2
DES MAROTTES;2446;78570.0;ANDRESY;78;15;78015;;;;;57,57;;;;;;;;;2;2;Appartement;;58;3
LAGUILLERMIE;2461;78410.0;BOUAFLE;78;90;78090;;;;;115,3;;;;;;;;;3;1;Maison;;100;5
RES ELYSEE 2;2437;78170.0;CELLE-SAINT-CLOUD (LA);78;126;78126;;;;;18,43;;;;;;;;;1;2;Appartement;;21;1
DES HALLES;2509;78460.0;CHEVREUSE;78;160;78160;;;;;76,4;;;;;;;;;1;2;Appartement;;90;4
TRISTAN BERNARD;2423;78340.0;CLAYES-SOUS-BOIS (LES);78;165;78165;;;;;64,17;;;;;;;;;2;2;Appartement;;63;4
DES PINSONS;2423;78340.0;CLAYES-SOUS-BOIS (LES);78;165;78165;;;;;30,13;;;;;;;;;1;2;Appartement;;30;1
DESIRE CLEMENT;2443;78700.0;CONFLANS SAINTE HONORINE;78;172;78172;;;;;57,78;;;;;;;;;1;2;Appartement;;57;3
LES NOUVEAUX HORIZONS;2496;78990.0;ELANCOURT;78;208;78208;;;;;67,5;;;;;;;;;1;2;Appartement;;68;3
LES NOUVEAUX HORIZONS;2496;78990.0;ELANCOURT;78;208;78208;;;;;46,72;;;;;;;;;1;2;Appartement;;46;2
DE SAINT NOM;2430;78620.0;ETANG-LA-VILLE (L );78;224;78224;;;;;113,84;;;;;;;;;2;2;Appartement;;115;5
DU QUATORZE JUILLET;2414;78280.0;GUYANCOURT;78;297;78297;;;;;63,65;;;;;;;;;2;2;Appartement;;64;3
MASSON;2424;78600.0;MAISONS-LAFFITTE;78;358;78358;;;;;15,21;;;;;;;;;1;2;Appartement;;14;1
DES COTES;2424;78600.0;MAISONS-LAFFITTE;78;358;78358;;;;;38,81;;;;;;;;;2;2;Appartement;;39;1
DE LA BRASSERIE ST ROCH;2473;78200.0;MANTES-LA-JOLIE;78;361;78361;;;;;56,8;;;;;;;;;1;2;Appartement;;57;3
DE MORAINVILLIERS;2448;78630.0;ORGEVAL;78;466;78466;;;;;135,03;;;;;;;;;1;1;Maison;;136;5
DE VILLIERS;2450;78300.0;POISSY;78;498;78498;;;;;64,52;;;;;;;;;1;2;Appartement;;71;3
DES CARDINAUX DE ROHAN;2525;78730.0;ROCHEFORT-EN-YVELINES;78;522;78522;;;;;28,51;;;;;;;;;1;2;Appartement;;22;1
D OURCHES;2447;78100.0;SAINT-GERMAIN-EN-LAYE;78;551;78551;;;;;30,85;;;;;;;;;2;2;Appartement;;31;1
CHESNEAU;2513;78470.0;SAINT-REMY-LES-CHEVREUSE;78;575;78575;;;;;20,7;;;;;;;;;1;2;Appartement;;15;1
EDISON;2425;78500.0;SARTROUVILLE;78;586;78586;;;;;53,36;;;;;;;;;2;2;Appartement;;53;3
GEORGE SAND;2413;78190.0;TRAPPES;78;621;78621;;;;;98,53;;;;;;;;;1;2;Appartement;;100;5
DE LA PAROISSE;2407;78000.0;VERSAILLES;78;646;78646;;;;;4,38;;;;;;;;;2;2;Appartement;;92;4
BASSE;2528;79000.0;NIORT;79;191;79191;;;;;73,17;;;;;;;;;1;2;Appartement;;68;3
DES ILLIEUX;2557;80300.0;ALBERT;80;16;80016;;;;;57,99;;;;;;;;;1;2;Appartement;;57;3
DES GRAVIERS;2634;83150.0;BANDOL;83;9;83009;;;;;24,54;;;;;;;;;1;2;Appartement;;24;2
DE LA PLAGE;2643;83230.0;BORMES-LES-MIMOSAS;83;19;83019;;;;;28,11;;;;;;;;;1;2;Appartement;;28;1
DE LA RESISTANCE;2581;83310.0;COGOLIN;83;42;83042;;;;;55,14;;;;;;;;;1;2;Appartement;;52;3
DU HUIT MAI 1945;2622;83130.0;LA GARDE;83;62;83062;;;;;80,1;;;;;;;;;1;2;Appartement;;74;4
VINCENT AURIOL;2632;83980.0;LE LAVANDOU;83;70;83070;;;;;53,1;;;;;;;;;1;2;Appartement;;32;2
DU CANNIER;2632;83980.0;LE LAVANDOU;83;70;83070;;;;;45,25;;;;;;;;;1;2;Appartement;;45;2
HECTOR BERLIOZ;2628;83220.0;LE PRADET;83;98;83098;;;;;54,31;;;;;;;;;1;2;Appartement;;54;3
DE LA GARE;2635;83110.0;SANARY SUR MER;83;123;83123;;;;;30,12;;;;;;;;;1;2;Appartement;;32;1
DU LOT LES SAGNARELLES IV;2623;83500.0;LA SEYNE SUR MER;83;126;83126;;;;;83,4;;;;;;;;;2;2;Appartement;;83;4
NOEL VERLAQUE;2623;83500.0;LA SEYNE SUR MER;83;126;83126;;;;;24,42;;;;;;;;;1;2;Appartement;;24;2
AMBROISE THOMAS;2623;83500.0;LA SEYNE SUR MER;83;126;83126;;;;;39,7;;;;;;;;;1;2;Appartement;;38;2
DE LOMBARD;2626;83140.0;SIX-FOURS-LES-PLAGES;83;129;83129;;;;;50,93;;;;;;;;;1;2;Appartement;;51;2
JOSEPH RAYNAUD;2626;83140.0;SIX-FOURS-LES-PLAGES;83;129;83129;;;;;67,55;;;;;;;;;1;2;Appartement;;67;4
CURET BAS;2626;83140.0;SIX-FOURS-LES-PLAGES;83;129;83129;;;;;49,78;;;;;;;;;1;2;Appartement;;49;2
D ALGER;2625;83000.0;TOULON;83;137;83137;;;;;45,37;;;;;;;;;1;2;Appartement;;51;2
BONNETERIE;2658;84000.0;AVIGNON;84;7;84007;;;;;138,5;;;;;;;;;1;2;Appartement;;138;4
PROSPER MERIMEE;2679;84300.0;CAVAILLON;84;35;84035;;;;;47,55;;;;;;;;;1;2;Appartement;;47;2
POUVAREL 2;2680;84250.0;LE THOR;84;132;84132;;;;;69,4;;;;;;;;;1;1;Maison;;69;3
DE LA CITE DES PINS;2719;85180.0;SABLES-D'OLONNE (LES);85;194;85194;;;;;25,23;;;;;;;;;1;2;Appartement;;25;2
DU VILLEBREQUIN;2718;85100.0;SABLES-D'OLONNE (LES);85;194;85194;;;;;41,32;;;;;;;;;1;2;Appartement;;42;3
L ACAPULCO;2717;85270.0;SAINT-HILAIRE-DE-RIEZ;85;226;85226;;;;;35,07;;;;;;;;;1;2;Appartement;;35;2
DES EMAILLEURS;2751;87270.0;COUZEIX;87;50;87050;;;;;45,2;;;;;;;;;1;2;Appartement;;45;2
THIERS;2788;88200.0;REMIREMONT;88;383;88383;;;;;44,31;;;;;;;;;2;2;Appartement;;44;2
DE PARIS;2798;89000.0;AUXERRE;89;24;89024;;;;;54,26;;;;;;;;;2;2;Appartement;;53;2
CHARLES DREZET;2818;91100.0;CORBEIL ESSONNES;91;174;91174;;;;;23,81;;;;;;;;;1;2;Appartement;;23;1
BOILEAU;2831;91560.0;CROSNE;91;191;91191;;;;;66,35;;;;;;;;;2;2;Appartement;;67;4
JEAN JAURES;2831;91560.0;CROSNE;91;191;91191;;;;;37,68;;;;;;;;;1;2;Appartement;;37;1
HAUTE FOULERIE;2891;91410.0;DOURDAN;91;200;91200;;;;;63,7;;;;;;;;;1;2;Appartement;;66;2
DU MARECHAL NEY;2841;91860.0;EPINAY-SOUS-SENART;91;215;91215;;;;;79;;;;;;;;;2;2;Appartement;;79;4
DE LA PIROUETTE;2885;91150.0;ETAMPES;91;223;91223;;;;;39,11;;;;;;;;;2;2;Appartement;;42;2
PASTEUR;2889;91580.0;ETRECHY;91;226;91226;;;;;87,33;;;;;;;;;1;1;Maison;;85;3
ALPHONSE DAUDET;2821;91000.0;EVRY-COURCOURONNES;91;228;91228;;;;;64,89;;;;;;;;;2;2;Appartement;;62;3
DU PETIT MENNECY;2823;91540.0;MENNECY;91;386;91386;;;;;30,2;;;;;;;;;2;2;Appartement;;30;1
JACQUES DUCLOS;2923;91120.0;PALAISEAU;91;477;91477;;;;;50;;;;;;;;;1;2;Appartement;;51;2
DU CANAL;2851;91700.0;SAINTE-GENEVIEVE-DES-BOIS;91;549;91549;;;;;47,01;;;;;;;;;1;2;Appartement;;47;2
LUCIE AUBRAC;2851;91700.0;SAINTE-GENEVIEVE-DES-BOIS;91;549;91549;;;;;77,29;;;;;;;;;1;2;Appartement;;77;5
JANVIER;2851;91700.0;SAINTE-GENEVIEVE-DES-BOIS;91;549;91549;;;;;27,4;;;;;;;;;1;2;Appartement;;27;1
DES SABLONS;2868;91240.0;SAINT-MICHEL-SUR-ORGE;91;570;91570;;;;;75,98;;;;;;;;;1;1;Maison;;70;4
DU SAUT DU LOUP;2857;91160.0;SAULX-LES-CHARTREUX;91;587;91587;;;;;50;;;;;;;;;1;2;Appartement;;50;2
MEDERIC;2953;92110.0;CLICHY;92;24;92024;;;;;34,4;;;;;;;;;3;2;Appartement;;59;2
GAMBETTA;2945;92400.0;COURBEVOIE;92;26;92026;;;;;42,79;;;;;;;;;1;2;Appartement;;41;3
DE VERDUN;2967;92130.0;ISSY-LES-MOULINEAUX;92;40;92040;;;;;16,86;;;;;;;;;1;2;Appartement;;18;1
VOLTAIRE;2952;92300.0;LEVALLOIS-PERRET;92;44;92044;;;;;76,1;;;;;;;;;2;2;Appartement;;72;4
RASPAIL;2952;92300.0;LEVALLOIS-PERRET;92;44;92044;;;;;44,59;;;;;;;;;1;2;Appartement;;42;2
LOUISE MICHEL;2952;92300.0;LEVALLOIS-PERRET;92;44;92044;;;;;13,9;;;;;;;;;1;2;Appartement;;13;1
PIERRE BROSSOLETTE;2977;92240.0;MALAKOFF;92;46;92046;;;;;52,61;;;;;;;;;2;2;Appartement;;53;3
DU ROULE;2954;92200.0;NEUILLY-SUR-SEINE;92;51;92051;;;;;53,04;;;;;;;;;2;2;Appartement;;47;3
HENRI SELLIER;2943;92150.0;SURESNES;92;73;92073;;;;;48,35;;;;;;;;;2;2;Appartement;;50;2
EUGENE BAUDOUIN;2972;92170.0;VANVES;92;75;92075;;;;;29,5;;;;;;;;;1;2;Appartement;;35;2
GASTON CARRE;2989;93300.0;AUBERVILLIERS;93;1;93001;;;;;16,51;;;;;;;;;1;2;Appartement;;19;1
BORDIER;2989;93300.0;AUBERVILLIERS;93;1;93001;;;;;29,79;;;;;;;;;1;2;Appartement;;31;2
DE LA REPUBLIQUE;3008;93150.0;LE BLANC-MESNIL;93;7;93007;;;;;63,87;;;;;;;;;1;2;Appartement;;63;3
DU MARECHAL LECLERC;3009;93330.0;NEUILLY-SUR-MARNE;93;50;93050;;;;;66,66;;;;;;;;;1;2;Appartement;;66;3
PASTEUR;3009;93330.0;NEUILLY-SUR-MARNE;93;50;93050;;;;;40,03;;;;;;;;;1;2;Appartement;;39;2
EMILE COSSONNEAU;3012;93160.0;NOISY-LE-GRAND;93;51;93051;;;;;60,63;;;;;;;;;2;2;Appartement;;60;3
LUCIEN PIRON;3017;93110.0;ROSNY-SOUS-BOIS;93;64;93064;;;;;96,17;;;;;;;;;2;2;Appartement;;97;5
ROGER RAMEAU;3017;93110.0;ROSNY-SOUS-BOIS;93;64;93064;;;;;30,2;;;;;;;;;1;2;Appartement;;30;1
GABRIEL PERI;2990;93200.0;SAINT-DENIS;93;66;93066;;;;;28,7;;;;;;;;;1;2;Appartement;;23;2
LIEGEARD;3003;93270.0;SEVRAN;93;71;93071;;;;;45,09;;;;;;;;;1;2;Appartement;;46;3
GRANDE RUE;3018;93250.0;VILLEMOMBLE;93;77;93077;;;;;85,4;;;;;;;;;1;2;Appartement;;89;4
ETIENNE DOLET;3023;94140.0;ALFORTVILLE;94;2;94002;;;;;56,91;;;;;;;;;1;2;Appartement;;57;3
BOILEAU;3066;94500.0;CHAMPIGNY-SUR-MARNE;94;17;94017;;;;;68,8;;;;;;;;;1;2;Appartement;;67;3
DU GENERAL DE GAULLE;3066;94500.0;CHAMPIGNY-SUR-MARNE;94;17;94017;;;;;33,32;;;;;;;;;1;2;Appartement;;35;2
DE PARIS;3025;94220.0;CHARENTON-LE-PONT;94;18;94018;;;;;47,37;;;;;;;;;1;2;Appartement;;47;3
D ALFORTVILLE;3033;94600.0;CHOISY-LE-ROI;94;22;94022;;;;;64,09;;;;;;;;;2;2;Appartement;;65;4
CLAUDE MONET;3026;94000.0;CRETEIL;94;28;94028;;;;;50,3;;;;;;;;;2;2;Appartement;;50;2
DE BRETAGNE;3026;94000.0;CRETEIL;94;28;94028;;;;;54,29;;;;;;;;;2;2;Appartement;;54;2
DU MARECHAL JOFFRE;3064;94120.0;FONTENAY-SOUS-BOIS;94;33;94033;;;;;69,09;;;;;;;;;2;2;Appartement;;69;3
PASTEUR;3028;94200.0;IVRY-SUR-SEINE;94;41;94041;;;;;50,14;;;;;;;;;1;2;Appartement;;50;3
DANTON;3030;94270.0;LE KREMLIN-BICETRE;94;43;94043;;;;;52,44;;;;;;;;;2;2;Appartement;;57;3
DE LA MUETTE;3060;94130.0;NOGENT-SUR-MARNE;94;52;94052;;;;;31,61;;;;;;;;;2;2;Appartement;;32;1
SEBASTOPOL;3047;94510.0;LA QUEUE-EN-BRIE;94;60;94060;;;;;29,68;;;;;;;;;2;2;Appartement;;29;1
DU MESNIL;3020;94210.0;SAINT-MAUR-DES-FOSSES;94;68;94068;;;;;47,46;;;;;;;;;2;2;Appartement;;50;2
ADRIEN DAMALIX;3019;94410.0;ST MAURICE;94;69;94069;;;;;30,93;;;;;;;;;1;2;Appartement;;28;2
DE NORMANDIE;3035;94320.0;THIAIS;94;73;94073;;;;;47,02;;;;;;;;;2;2;Appartement;;48;2
DU DR PAUL LAURENS;3031;94800.0;VILLEJUIF;94;76;94076;;;;;79,58;;;;;;;;;1;1;Maison;;75;3
GABRIEL PERI;3034;94400.0;VITRY-SUR-SEINE;94;81;94081;;;;;54,18;;;;;;;;;2;2;Appartement;;63;3
FELIX FAURE;3034;94400.0;VITRY-SUR-SEINE;94;81;94081;;;;;41,37;;;;;;;;;2;2;Appartement;;34;2
DE LA SABLIERE;3152;95580.0;ANDILLY;95;14;95014;;;;;59,79;;;;;;;;;1;2;Appartement;;58;4
DES ROSES;3109;95440.0;ECOUEN;95;205;95205;;;;;85,64;;;;;;;;;1;2;Appartement;;84;4
SCHEMMERHOFEN;3145;95410.0;GROSLAY;95;288;95288;;;;;79;;;;;;;;;1;2;Appartement;;78;4
JEAN BAPTISTE POQUELIN;3154;95220.0;HERBLAY-SUR-SEINE;95;306;95306;;;;;60,25;;;;;;;;;1;2;Appartement;;60;3
GRANDE RUE;3073;95290.0;L'ISLE-ADAM;95;313;95313;;;;;94;;;;;;;;;3;2;Appartement;;91;4
CAMILLE SAINT SAENS;3076;95280.0;JOUY-LE-MOUTIER;95;323;95323;;;;;66,39;;;;;;;;;1;2;Appartement;;65;3
CHARLES PEGUY;3118;95380.0;LOUVRES;95;351;95351;;;;;62,43;;;;;;;;;1;2;Appartement;;64;3
MAURICE BERTEAUX;3150;95360.0;MONTMAGNY;95;427;95427;;;;;47,64;;;;;;;;;1;2;Appartement;;47;2
VICTOR HUGO;3137;95130.0;PLESSIS-BOUCHARD (LE);95;491;95491;;;;;53;;;;;;;;;2;2;Appartement;;53;3
DE LA COUTELLERIE;3067;95300.0;PONTOISE;95;500;95500;;;;;26,38;;;;;;;;;1;2;Appartement;;26;1
SAINT JEAN;3067;95300.0;PONTOISE;95;500;95500;;;;;43,05;;;;;;;;;1;2;Appartement;;41;2
DE LA GARE;3107;95350.0;SAINT-BRICE-SOUS-FORET;95;539;95539;;;;;58,45;;;;;;;;;1;2;Appartement;;57;3
DU PONT VERT;3070;95310.0;ST OUEN L AUMONE;95;572;95572;;;;;38,79;;;;;;;;;1;2;Appartement;;38;2
QUARTIER MORNE A L EAU;3164;97200.0;FORT DE FRANCE;972;209;97209;;;;;54,19;;;;;;;;;1;2;Appartement;;56;2
RENOIR;71;2400.0;CHATEAU THIERRY;2;168;2168;;;;;78,24;;;;;;;;;1;2;Appartement;;75;4
DE PANLEU;62;2200.0;SOISSONS;2;722;2722;;;;;29,21;;;;;;;;;1;2;Appartement;;30;1
EDOUARD BRANLY;62;2200.0;SOISSONS;2;722;2722;;;;;73,65;;;;;;;;;1;2;Appartement;;73;3
ELEMIR BOURGES;97;4100.0;MANOSQUE;4;112;4112;;;;;75,3;;;;;;;;;2;2;Appartement;;75;3
LES LOUVES;103;4180.0;VILLENEUVE;4;242;4242;;;;;130,2;;;;;;;;;1;2;Appartement;;114;5
BOIS DE LA BLACHE;130;5230.0;CHORGES;5;40;5040;;;;;86,49;;;;;;;;;1;1;Maison;;70;3
DE NICE;204;6600.0;ANTIBES;6;4;6004;;;;;20,82;;;;;;;;;1;2;Appartement;;21;1
DU GENERAL DE GAULLE;151;6240.0;BEAUSOLEIL;6;12;6012;;;;;42,13;;;;;;;;;1;2;Appartement;;42;2
